,value
months,45.0
CAGR,0.2416
AnnVol,0.2467
Sharpe,1.0048
MaxDrawdown,-0.1844
HitRate_vs_Benchmark,0.4889
AvgTurnover,0.9674
AvgCost_per_month,0.000967
AvgHoldings,15.0
Benchmark_CAGR,0.1789
