,value
months,68.0
CAGR,0.1229
AnnVol,0.1966
Sharpe,0.6863
MaxDrawdown,-0.188
HitRate_vs_Benchmark,0.4706
AvgTurnover,0.6037
AvgCost_per_month,0.000604
AvgHoldings,6.97
Benchmark_CAGR,0.1274
